fund_name,valuation_date,isin,quantity,market_value,currency
AIFM_HedgeFund,2026-06-10,SPY US Equity,75000,44250000,USD
AIFM_HedgeFund,2026-06-10,AAPL US Equity,25000,4500000,USD
AIFM_HedgeFund,2026-06-10,MSFT US Equity,20000,6000000,USD
AIFM_HedgeFund,2026-06-10,JPM US Equity,18000,2340000,USD
AIFM_HedgeFund,2026-06-10,EXS1 Equity,50000,21000000,EUR
AIFM_HedgeFund,2026-06-10,ASML US Equity,15000,9750000,EUR
AIFM_HedgeFund,2026-06-10,SAP US Equity,25000,4750000,EUR
AIFM_HedgeFund,2026-06-10,NESN VX Equity,35000,3325000,CHF
AIFM_HedgeFund,2026-06-10,GLD US Equity,-8000,-1333000,USD
AIFM_HedgeFund,2026-06-10,TLT US Equity,-2000,-76000,USD
AIFM_HedgeFund,2026-06-10,US912828YK09 Govt,10000000,10150000,USD
AIFM_HedgeFund,2026-06-10,US912810TM79 Govt,5000000,5375000,USD
AIFM_HedgeFund,2026-06-10,DBR 0 08/15/29 Govt,20000000,20000000,EUR
AIFM_HedgeFund,2026-06-10,DBAB Govt,18000000,18450000,EUR
AIFM_HedgeFund,2026-06-10,XS2543791470 Corp,-4000000,-4200000,EUR
AIFM_HedgeFund,2026-06-10,SX5E01 Corp,-5000000,-5062500,EUR
AIFM_HedgeFund,2026-06-10,EURUSD Curncy,8000000,7480000,EUR
AIFM_HedgeFund,2026-06-10,GBPUSD Curncy,4000000,4800000,GBP
AIFM_HedgeFund,2026-06-10,CHFUSD Curncy,3000000,3285000,CHF
AIFM_HedgeFund,2026-06-10,Cash,1,15000000,EUR
